id,store_nbr,onpromotion,Unnamed: 0_x,oil_price,Unnamed: 0_y,Unnamed: 0,feature_winsorized,family_AUTOMOTIVE,family_BABY CARE,family_BEAUTY,family_BEVERAGES,family_BOOKS,family_BREAD/BAKERY,family_CELEBRATION,family_CLEANING,family_DAIRY,family_DELI,family_EGGS,family_FROZEN FOODS,family_GROCERY I,family_GROCERY II,family_HARDWARE,family_HOME AND KITCHEN I,family_HOME AND KITCHEN II,family_HOME APPLIANCES,family_HOME CARE,family_LADIESWEAR,family_LAWN AND GARDEN,family_LINGERIE,"family_LIQUOR,WINE,BEER",family_MAGAZINES,family_MEATS,family_PERSONAL CARE,family_PET SUPPLIES,family_PLAYERS AND ELECTRONICS,family_POULTRY,family_PREPARED FOODS,family_PRODUCE,family_SCHOOL AND OFFICE SUPPLIES,family_SEAFOOD,store_city_Ambato,store_city_Babahoyo,store_city_Cayambe,store_city_Cuenca,store_city_Daule,store_city_El Carmen,store_city_Esmeraldas,store_city_Guaranda,store_city_Guayaquil,store_city_Ibarra,store_city_Latacunga,store_city_Libertad,store_city_Loja,store_city_Machala,store_city_Manta,store_city_Playas,store_city_Puyo,store_city_Quevedo,store_city_Quito,store_city_Riobamba,store_city_Salinas,store_city_Santo Domingo,holiday_type_Additional,holiday_type_Bridge,holiday_type_Event,holiday_type_Holiday,holiday_type_No Event,holiday_type_Transfer,holiday_type_Work Day,year
1586871,49005,0,0.0,165975.47891235352,47223,73062.0,2511.618999,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,66,33,33,99,33,33,33,33,264,33,66,33,33,66,66,33,33,33,594,33,33,99,0,0,0,1782,0,0,0,2013
4762395,49005,0,1782.0,165975.47891235352,47223,0.0,353259.417944,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,66,33,33,99,33,33,33,33,264,33,66,33,33,66,66,33,33,33,594,33,33,99,0,0,0,0,1782,0,0,2013
7937919,49005,0,3564.0,165672.54217529297,47223,0.0,294267.231124,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,66,33,33,99,33,33,33,33,264,33,66,33,33,66,66,33,33,33,594,33,33,99,0,0,0,0,1782,0,0,2013
11113443,49005,0,5346.0,165939.8448944092,47223,0.0,290671.7040927,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,66,33,33,99,33,33,33,33,264,33,66,33,33,66,66,33,33,33,594,33,33,99,0,0,0,0,1782,0,0,2013
14288967,49005,0,0.0,165939.8448944092,47223,74844.0,346113.121229,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,66,33,33,99,33,33,33,33,264,33,66,33,33,66,66,33,33,33,594,33,33,99,0,0,0,0,0,0,1782,2013
17464491,49005,0,0.0,165939.8448944092,47223,0.0,355180.401088,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,66,33,33,99,33,33,33,33,264,33,66,33,33,66,66,33,33,33,594,33,33,99,0,0,0,0,1782,0,0,2013
20640015,49005,0,7128.0,166082.3945617676,47223,0.0,278944.827966,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,66,33,33,99,33,33,33,33,264,33,66,33,33,66,66,33,33,33,594,33,33,99,0,0,0,0,1782,0,0,2013
23815539,49005,0,8910.0,166100.21836853027,47223,0.0,262362.777981,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,66,33,33,99,33,33,33,33,264,33,66,33,33,66,66,33,33,33,594,33,33,99,0,0,0,0,1782,0,0,2013
26991063,49005,0,10692.0,165868.56326293942,47223,0.0,257074.799018,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,66,33,33,99,33,33,33,33,264,33,66,33,33,66,66,33,33,33,594,33,33,99,0,0,0,0,1782,0,0,2013
30166587,49005,0,12474.0,167169.4156494141,47223,0.0,234199.003049,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,66,33,33,99,33,33,33,33,264,33,66,33,33,66,66,33,33,33,594,33,33,99,0,0,0,0,1782,0,0,2013
